text,ocr_conf,label
"(no subject) - malaikaarif34@gmail.com - Gmail - Google Chrome
/mail/u/0/#inbox/FMfcgzQcqbVrmSmWiWcCntafirhbRplc Search mail cr Aa © O/B Bi: (no subject) [Inbox x) Malaika Arif. ' tome v Subject: :’ Urgent: Account Suspension Notice — Action Required senactcOGR\tessenactwexenNeatinetote)s\dapracstaytal | Dear User, We have detected unusual sign-in activity on your Microsoft 365 account from a new device. For your protection, your account will be temporarily suspended within 24 hours unless you verify your identity. Please verify your account immediately by clicking the secure link below: Cr Verify Now Failure to complete verification may result in restricted access to your emails, calendar, and OneDrive files. Thank you for your prompt attention. Microsoft Account Security Team © 2025 Microsoft Corporation. All rights reserved.",100,0
"/mail/u/0/#inbox/FMfcgzQcqbVrmSmWiWcCntafirhbRplc Search mail cr Aa © O/B Bi: (no subject) [Inbox x) Malaika Arif. ' tome v Subject: :’ Urgent: Account Suspension Notice — Action Required senactcOGR\tessenactwexenNeatinetote)s\dapracstaytal | Dear User, We have detected unusual sign-in activity on your Microsoft 365 account from a new device. For your protection, your account will be temporarily suspended within 24 hours unless you verify your identity. Please verify your account immediately by clicking the secure link below: Cr Verify Now Failure to complete verification may result in restricted access to your emails, calendar, and OneDrive files. Thank you for your prompt attention. Microsoft Account Security Team © 2025 Microsoft Corporation. All rights reserved.",100,1
"i Oe d> # @® 10f3,300 < > far = 10:15AM (18minutesago) ¥% © | } sad vig cot Spano ten — Acton u verify your identity. | OneDrive files. Ee",100,1
"i Oe d> # @® 10f3,300 << > mr oa & 10:15AM (18minutesago) ¥% © | } tan = Aon wy yout Ons u verify your identity. | OneDrive files. e",100,1
"i Oe d> # @® 10f3,300 << > mr oa & 10:15AM (18minutesago) ¥% © | } on cyyou roa you ttt onion o u verify your identity. | OneDrive files.",100,1
"a Oe d> # @® 10f3,300 << > mr oa & 10:15AM (18minutesago) ¥% © | } sayoutoxtono vaya janeiro u verify your identity. | OneDrive files. e",100,1
"i Oe d> # @® 10f3,300 << > mr =m 4 10:15AM (18minutesago) ¥% © | } so eyamato wa you ttt onion o u verify your identity. | OneDrive files.",100,1
": | © Cyber awareness tips plan x | © Script improvement summary X | © Home - UB-Mannheim/tesserac XX gle.com/mail/u/0/#inbox/FMfcgzQcqbVrmSmWiWcCntafirhbRpic _ Oo x —F syemailllookstsuspicious!) | ae 1g any links, Consider contacting IT or the sender. (no subject) [Inbox x) HisokeyamatolwajyouptttfonionfolulverityyyougidentityalLOneDrivettiless Subject: :’ Urgent: Account Suspension Notice — Action Required From: IT Support it-support@microsOft-secure.com To: user@company.com Date: Wed, 29 Oct 2025, 10:15 AM Dear User, We have detected unusual sign-in activity on your Microsoft 365 account from a new device. For your protection, your account will be temporarily suspended within 24 hours unless you verify your identity. Please verify your account immediately by clicking the secure link below: Cr Verify Now Failure to complete verification may result in restricted access to your emails, calendar, and OneDrive files. Thank you for your prompt attention. Microsoft Account Security Team",100,0
": | © Cyber awareness tips plan x | © Script improvement summary X | © Home - UB-Mannheim/tesserac XX gle.com/mail/u/0/#inbox/FMfcgzQcqbVrmSmWiWcCntafirhbRpic _ Oo x —F syemailllookstsuspicious!) | ae 1g any links, Consider contacting IT or the sender. (no subject) [Inbox x) HisokeyamatolwajyouptttfonionfolulverityyyougidentityalLOneDrivettiless Subject: :’ Urgent: Account Suspension Notice — Action Required From: IT Support it-support@microsOft-secure.com To: user@company.com Date: Wed, 29 Oct 2025, 10:15 AM Dear User, We have detected unusual sign-in activity on your Microsoft 365 account from a new device. For your protection, your account will be temporarily suspended within 24 hours unless you verify your identity. Please verify your account immediately by clicking the secure link below: Cr Verify Now Failure to complete verification may result in restricted access to your emails, calendar, and OneDrive files. Thank you for your prompt attention. Microsoft Account Security Team",100,0
"v © Alscreen monitoring program =X | © Cyber awareness tips plan x | © Script improvement summary € > G 2% hitps://mail.google.com/mail/u/0/#inbox/FMfcgzQcqbVimSmWfWcCntafirhbRplc oa | @ fA Phishing Alert - Oo x = MM This emefl (nalts exepiions _—___________} Be careful before clicking any links, Consider contacting IT or the sender, 2 cone NcqOVEMSMWIWcGntafi hORDIGaR OOM sonetos 10 subject) [Inbox x) yr Starred oO , Malaika Arif . ""| ""tome v @® = Snoozed _ E> Sent Subject: :’ Urgent: Account Suspension Notice — Action Required D Drafts 4 From: IT Support it-support@microsOft-secure.com To: user@company.com Purchases 64 Date: Wed, 29 Oct 2025, 10:15 AM v More Dear User, Labels + We have detected unusual sign-in activity on your Microsoft 365 acc For your protection, your account will be temporarily suspended witt Please verify your account immediately by clicking the secure link be Cr Verify Now Failure to complete verification may result in restricted access to you Thank you for your",100,0
"v © Alscreen monitoring program =X | © Cyber awareness tips plan x | © Script improvement summary € > G 2% hitps://mail.google.com/mail/u/0/#inbox/FMfcgzQcqbVimSmWfWcCntafirhbRplc oa | @ fA Phishing Alert - Oo x = MM This emefl (nalts exepiions _—___________} Be careful before clicking any links, Consider contacting IT or the sender, 2 cone NcqOVEMSMWIWcGntafi hORDIGaR OOM sonetos 10 subject) [Inbox x) yr Starred oO , Malaika Arif . ""| ""tome v @® = Snoozed _ E> Sent Subject: :’ Urgent: Account Suspension Notice — Action Required D Drafts 4 From: IT Support it-support@microsOft-secure.com To: user@company.com Purchases 64 Date: Wed, 29 Oct 2025, 10:15 AM v More Dear User, Labels + We have detected unusual sign-in activity on your Microsoft 365 acc For your protection, your account will be temporarily suspended witt Please verify your account immediately by clicking the secure link be Cr Verify Now Failure to complete verification may result in restricted access to you Thank you for your",100,0
"}-in activity on your Microsoft 365 account from a new device. int will be temporarily suspended within 24 hours unless you verify your identity. ediately by clicking the secure link below: may result in restricted access to your emails, calendar, and OneDrive files. ntion. eam All rights reserved. vard } ail/U/O/#inbox/EMicgz@cqbVimSmWiWeGntafirhbRpla hal C",100,1
"SESE) Te | Al Proj Gip Home Share View 4, fe Cut 7 New item ~ NS Ed open - Sele % las ‘A (S)xX abi. es vv) Boer Copy path a : i Easy access ~ iA Edit oo Sele Pin to Quick Co Paste 4 Move Co Delete Rename New Properties _ access ad [e] Paste shortcut | 19 ~ ‘on bd folder i. QHistory Gia Inve Clijpb oa p¢ $$ neni tn va es CAWindows\System32\cmd.exe ~ python screen_monitor. e cs EC\ \Sy: \ pyt Screen_mo py TCHOSOMUA YW INGOWSE [Wels] ONBLOLO M1904 566456) (CEMUCROSOLY Al eights Hr Quick access C1 besa ERNATEP Oy >py,chonmscheensmon.tOnepyy esktop ENNA TEP rogNScaeenWmon. Ons py aLScmoyltaxwannineamLnvalsd| oye < Downloads pytessenactepytessenacumtessenact@cmid gma G\ Phoprammailes\\iessenacte0cR\tessen . Scheensmonitomm ULALOGRePhi shine) mRUnNnine aloes Documents f=) Pictures This PC 1 ALProj i Bandicam i FSCRD 2023 S it Musa and Ema @ OneDrive - Perso This PC EQ 3D Objects (7) Desktop Documents U Downloads 2d Music f=) Pictures IFA] Videos #5 Local Disk (C) wz» New Volume (E:)",100,0
"H select all 9 Select none 2 Invert selection _ Oo x E nw SSenaGtMexXem i) fe dkprecstad and scischiled Gor Cs chestine. datkatine .miChistine Wie). Nes CA\ Mei dows\ Systema Z\omd exe python] Seren MOnAOr Py) (CRSA) SESE) To] Al Pros Gap Home Share Views fe Cut] New feme) [NS Gd open Sein % ExtA (xX shes vv] Ooer Copy path ai Cm, access = iA Cds oo Sele Pri to Quick Co Panta) “",100,0
- iSSencaMexXem t) fe dkprecstad snd scmchiied Goe Cs chest v] 0] | Search Al Proj nw cat) and) schathiled) Gar atetimemnow(datetimenULG) “,100,0
| = | x Cae a ll ees fatetmemnowsdatetarienULG) a vo] Search AIProj. =P,100,0
| = | x Cae a ll ees fatetmemnowsdatetarienULG) a vo] Search AIProj. =P,100,0
xs x ————s Qx 8 1 G @Détor : : eve 3 rae Tk ; O Active v ) £03 sss eae (@) 10f 72 < > Ea a @ 10:15AM (24 minutesago) ye & : iS ° fie) + ur identity. files.,100,0
xs x ————s Qx 8 1 G @Détor : : eve 3 rae Tk ; O Active v ) £03 sss eae (@) 10f 72 < > Ea a @ 10:15AM (24 minutesago) ye & : iS ° fie) + ur identity. files.,100,0
"_ Qe 1D Ottor x 3 Orctvey @ G i ( Pie @ - Oo Xx Uavonsost nw 7 1of72 << > | a & | ed) and echathiled Gar rane Een ‘uradentety, filles | cna) and schathiled Gor ramveill datetumesnow(datetumesULG)s 1S oor=""(| = | x Ge o 1 es Gj verify your identity. “ access to your emails, calendar, and OneDrive files.",100,0
"_ Qe 1D Ottor x 3 Orctvey @ G i ( Pie @ - Oo Xx Uavonsost nw 7 1of72 << > | a & | ed) and echathiled Gar rane Een ‘uradentety, filles | cna) and schathiled Gor ramveill datetumesnow(datetumesULG)s 1S oor=""(| = | x Ge o 1 es Gj verify your identity. “ access to your emails, calendar, and OneDrive files.",100,0
"cess ee oe a _ “ . a - , . (A) Fewer details ' Ht af Moo ri =| 1 a we > of - l i fr poo. vs ‘| ; : r df —— if are _ OCRETR w Gai Orton xd Orctvey @.G1( Pre @2O0.Xx Usvonsost) a / nw, J tol 2S 1a led) and echathiied Gxrmie Cen purodentetyy PA fies | cna) and schsthiled Goc ranvel datctumeno) TT ee",100,0
